id,hadith,hukm,rawi,source,page,takhrij,categories
1,- دَخَلَ عَلَيَّ أَبُو بَكْرٍ وَعِندِي جَارِيَتَانِ مِن جَوَارِي الأنْصَارِ، تُغَنِّيَانِ بما تَقَاوَلَتْ به الأنْصَارُ، يَومَ بُعَاثَ، قالَتْ: وَليسَتَا بمُغَنِّيَتَيْنِ، فَقالَ أَبُو بَكْرٍ: أَبِمَزْمُورِ الشَّيْطَانِ في بَيْتِ رَسولِ اللهِ صَلَّى اللَّهُ عليه وَسَلَّمَ؟ وَذلكَ في يَومِ عِيدٍ، فَقالَ رَسولُ اللهِ صَلَّى اللَّهُ عليه وَسَلَّمَ: يا أَبَا بَكْرٍ إنَّ لِكُلِّ قَوْمٍ عِيدًا، وَهذا عِيدُنَا.,[صحيح],عائشة أم المؤمنين,صحيح مسلم,892,أخرجه البخاري (952)، ومسلم (892).,حكم الأغاني - الغناء|حكم الأغاني - المعازف والدف|عيدين - سنة العيدين لأهل الإسلام|نكاح - الغناء والدف|إحسان - الأخذ بالرخصة
2,- دَخَلَ رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ وَعِندِي جَارِيَتَانِ، تُغَنِّيَانِ بغِنَاءِ بُعَاثٍ، فَاضْطَجَعَ علَى الفِرَاشِ، وَحَوَّلَ وَجْهَهُ، فَدَخَلَ أَبُو بَكْرٍ فَانْتَهَرَنِي، وَقالَ: مِزْمَارُ الشَّيْطَانِ عِنْدَ رَسولِ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ؟ فأقْبَلَ عليه رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ، فَقالَ: دَعْهُمَا، فَلَمَّا غَفَلَ غَمَزْتُهُما فَخَرَجَتَا، وَكانَ يَومَ عِيدٍ يَلْعَبُ السُّودَانُ بالدَّرَقِ وَالْحِرَابِ، فَإِمَّا سَأَلْتُ رَسولَ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ، وإمَّا قالَ: تَشْتَهِينَ تَنْظُرِينَ؟ فَقُلتُ: نَعَمْ، فأقَامَنِي وَرَاءَهُ، خَدِّي علَى خَدِّهِ، وَهو يقولُ: دُونَكُمْ يا بَنِي أَرْفِدَةَ حتَّى إذَا مَلِلْتُ، قالَ: حَسْبُكِ؟ قُلتُ: نَعَمْ، قالَ: فَاذْهَبِي.,[صحيح],عائشة أم المؤمنين,صحيح مسلم,892,أخرجه البخاري (2906)، ومسلم (892).,آداب المجلس - ما يجوز من نظر النساء إلى الرجال|عيدين - ضرب الدف يوم العيد|لعب ولهو - ما يباح من اللعب|نكاح - عشرة النساء|عيدين - اللعب في العيد
3,-  أنَّ أبَا بَكْرٍ، دَخَلَ عَلَيْهَا والنبيُّ صَلَّى اللهُ عليه وسلَّمَ عِنْدَهَا يَومَ فِطْرٍ أوْ أضْحًى، وعِنْدَهَا قَيْنَتَانِ تُغَنِّيَانِ بما تَقَاذَفَتِ الأنْصَارُ يَومَ بُعَاثٍ، فَقَالَ أبو بَكْرٍ: مِزْمَارُ الشَّيْطَانِ؟ مَرَّتَيْنِ، فَقَالَ النبيُّ صَلَّى اللهُ عليه وسلَّمَ: دَعْهُما يا أبَا بَكْرٍ، إنَّ لِكُلِّ قَوْمٍ عِيدًا، وإنَّ عِيدَنَا هذا اليَوْمُ.,[صحيح],عائشة أم المؤمنين,صحيح البخاري,3931,أخرجه الطبراني في ((المعجم الكبير)) (23/ 180) (287) واللفظ له، وأحمد (24682) باختلاف يسير، ومسلم (892) بنحوه.,حكم الأغاني - الغناء|حكم الأغاني - المعازف والدف|عيدين - ضرب الدف يوم العيد|نكاح - الغناء والدف|لعب ولهو - آلة اللهو
4,"-  دَخَلَ عَلَيَّ رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ وَعِندِي جَارِيَتَانِ تُغَنِّيَانِ بغِنَاءِ بُعَاثَ، فَاضْطَجَعَ علَى الفِرَاشِ وَحَوَّلَ وَجْهَهُ، فَدَخَلَ أَبُو بَكْرٍ، فَانْتَهَرَنِي وَقالَ: مِزْمَارَةُ الشَّيْطَانِ عِنْدَ رَسولِ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ! فأقْبَلَ عليه رَسولُ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، فَقالَ: دَعْهُمَا، فَلَمَّا غَفَلَ غَمَزْتُهُمَا، فَخَرَجَتَا.
قالَتْ: وَكانَ يَوْمُ عِيدٍ يَلْعَبُ السُّودَانُ بالدَّرَقِ وَالحِرَابِ، فَإِمَّا سَأَلْتُ رَسولَ اللَّهِ صَلَّى اللهُ عليه وسلَّمَ، وإمَّا قالَ: تَشْتَهِينَ تَنْظُرِينَ؟ فَقالَتْ: نَعَمْ. فأقَامَنِي وَرَاءَهُ، خَدِّي علَى خَدِّهِ، ويقولُ: دُونَكُمْ بَنِي أَرْفِدَةَ، حتَّى إذَا مَلِلْتُ، قالَ: حَسْبُكِ؟ قُلتُ: نَعَمْ، قالَ: فَاذْهَبِي.",[صحيح],عائشة أم المؤمنين,صحيح البخاري,2906,أخرجه البخاري (2906)، ومسلم (892),آداب المجلس - ما يجوز من نظر النساء إلى الرجال|لعب ولهو - ما يباح من اللعب|نكاح - عشرة النساء|إيمان - الجن والشياطين|عيدين - اللعب في العيد
5,-  أَخَذَ عُمَرُ جُبَّةً مِن إسْتَبْرَقٍ تُباعُ في السُّوقِ، فأخَذَها، فأتَى بها رَسولَ اللَّهِ صلَّى اللهُ عليه وسلَّمَ، فقالَ: يا رَسولَ اللَّهِ، ابْتَعْ هذِه تَجَمَّلْ بها لِلْعِيدِ والوُفُودِ، فقالَ له رَسولُ اللَّهِ صلَّى اللهُ عليه وسلَّمَ: إنَّما هذِه لِباسُ مَن لا خَلاقَ له. فَلَبِثَ عُمَرُ ما شاءَ اللَّهُ أنْ يَلْبَثَ، ثُمَّ أرْسَلَ إلَيْهِ رَسولُ اللَّهِ صلَّى اللهُ عليه وسلَّمَ بجُبَّةِ دِيباجٍ، فأقْبَلَ بها عُمَرُ، فأتَى بها رَسولَ اللَّهِ صلَّى اللهُ عليه وسلَّمَ، فقالَ: يا رَسولَ اللَّهِ، إنَّكَ قُلْتَ: إنَّما هذِه لِباسُ مَن لا خَلاقَ له، وأَرْسَلْتَ إلَيَّ بهذِه الجُبَّةِ، فقالَ له رَسولُ اللَّهِ صلَّى اللهُ عليه وسلَّمَ: تَبِيعُها أوْ تُصِيبُ بها حاجَتَكَ.,[صحيح],عبدالله بن عمر,صحيح البخاري,948,أخرجه البخاري (948)، ومسلم (2068),زينة اللباس - إباحة الذهب والحرير للنساء دون الرجال|زينة اللباس - التجمل للوفود|زينة اللباس - ما نهي عنه من اللباس|عيدين - التجمل والزينة في العيدين
6,- وَجَدَ عُمَرُ بنُ الخَطَّابِ حُلَّةً مِن إسْتَبْرَقٍ تُبَاعُ بالسُّوقِ، فأخَذَهَا، فأتَى بهَا رَسولَ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ، فَقالَ: يا رَسولَ اللهِ، ابْتَعْ هذِه فَتَجَمَّلْ بهَا لِلْعِيدِ، وَلِلْوَفْدِ، فَقالَ رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ: إنَّما هذِه لِبَاسُ مَن لا خَلَاقَ له، قالَ: فَلَبِثَ عُمَرُ ما شَاءَ اللَّهُ ثُمَّ أَرْسَلَ إلَيْهِ رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ بجُبَّةِ دِيبَاجٍ، فأقْبَلَ بهَا عُمَرُ حتَّى أَتَى بهَا رَسولَ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ، فَقالَ: يا رَسولَ اللهِ، قُلْتَ: إنَّما هذِه لِبَاسُ مَن لا خَلَاقَ له، أَوْ إنَّما يَلْبَسُ هذِه مَن لا خَلَاقَ له، ثُمَّ أَرْسَلْتَ إلَيَّ بهذِه، فَقالَ له رَسولُ اللهِ صَلَّى اللَّهُ عليه وسلَّمَ: تَبِيعُهَا وَتُصِيبُ بهَا حَاجَتَكَ.,[صحيح],عبدالله بن عمر,صحيح مسلم,2068,أخرجه البخاري (3054)، ومسلم (2068).,زينة اللباس - إباحة الذهب والحرير للنساء دون الرجال|زينة اللباس - جزاء من لبس الحرير في الدنيا|زينة اللباس - لباس الحرير
8,- كانَ رَسولُ اللَّهِ صلَّى اللهُ عليه وسلَّمَ لا يَغْدُو يَومَ الفِطْرِ حتَّى يَأْكُلَ تَمَراتٍ. وقال مرجأ بن رجاء...: ويَأْكُلُهُنَّ وِتْرًا.,[صحيح] [قوله: وقال مرجأ بن رجاء... معلق],أنس بن مالك,صحيح البخاري,953,أخرجه البيهقي (6221)، والبزار (7457) واللفظ لهما، والترمذي (543) بنحوه.,أطعمة - أكل التمر|عيدين - الأكل قبل الخروج للعيد يوم الفطر|عيدين - سنة العيدين لأهل الإسلام|أطعمة - ما يحل من الأطعمة|فضائل النبي وصفته ودلائل النبوة - أحوال النبي
10,- ما خرَج رسولُ اللهِ صلَّى اللهُ عليه وسلَّم يومَ فِطْرٍ حتَّى يأكُلَ تمراتٍ ثلاثًا أو خمسًا أو سبعًا,أخرجه في صحيحه,أنس بن مالك,صحيح ابن حبان,2814,أخرجه الحاكم (1090)، والبيهقي (6224) بإختلاف يسير، والبخاري (953) بمعناه,أطعمة - أكل التمر|عيدين - الأكل قبل الخروج للعيد يوم الفطر|أطعمة - أكل الرطب والتمر
11,-  كان لا يَغْدُو يومَ الفِطْرِ حتى يأكُلَ تَمْراتٍ,صحيح,جابر بن سمرة,صحيح الجامع,4865,أخرجه البزار (4273)، وابن عدي في ((الكامل في الضعفاء))  (8/ 304) مطولاً، والطبراني (2/247) (2039) باختلاف يسير.,أطعمة - آداب الأكل|أطعمة - آداب متفرقة|أطعمة - أكل التمر|عيدين - الأكل قبل الخروج للعيد يوم الفطر|أطعمة - ما يحل من الأطعمة
12,"- نَحْنُ الآخِرُونَ السَّابِقُونَ يَومَ القِيامَةِ، أُوتُوا الكِتابَ مِن قَبْلِنا وأُوتِيناهُ مِن بَعْدِهِمْ، فَهذا اليَوْمُ الذي اخْتَلَفُوا فِيهِ، فَهَدانا اللَّهُ فَغَدًا لِلْيَهُودِ، وبَعْدَ غَدٍ لِلنَّصارَى فَسَكَتَ.
 ثُمَّ قالَ: حَقٌّ علَى كُلِّ مُسْلِمٍ، أنْ يَغْتَسِلَ في كُلِّ سَبْعَةِ أيَّامٍ يَوْمًا يَغْسِلُ فيه رَأْسَهُ وجَسَدَهُ.",[صحيح],أبو هريرة,صحيح البخاري,896,أخرجه البخاري (896)، ومسلم (855),جمعة - فضل يوم الجمعة|غسل - غسل الجمعة|غسل - الأغسال الواجبة والمسنونة|مناقب وفضائل - أمة نبينا محمد صلى الله عليه وسلم
